state,wage
Alabama,91653
Alaska,82590
Arizona,70124
Arkansas,88504
California,103660
Colorado,75128
Connecticut,79571
Delaware,73280
District of Columbia,78887
Florida,72141
Georgia,71466
Guam,40042
Hawaii,69457
Idaho,70051
Illinois,77745
Indiana,77365
Iowa,78507
Kansas,81115
Kentucky,80218
Louisiana,67724
Maine,80021
Maryland,79452
Massachusetts,86471
Michigan,74329
Minnesota,74996
Mississippi,82592
Missouri,75276
Montana,61941
Nebraska,72620
Nevada,75377
New Hampshire,79939
New Jersey,76176
New Mexico,55958
New York,91120
North Carolina,74361
North Dakota,68939
Northern Mariana Islands,19128
Ohio,77494
Oklahoma,67851
Oregon,81176
Pennsylvania,83131
Puerto Rico,57032
Rhode Island,74546
South Carolina,63539
South Dakota,62427
Tennessee,69692
Texas,71981
Utah,74812
Vermont,72054
Virgin Islands,43308
Virginia,75037
Washington,102719
West Virginia,97606
Wisconsin,77458
Wyoming,67052
